Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1589.1945
FDW14,OUT017,1411.1958
NCN55,OUT010,1019.7632
FDQ58,OUT017,2512.542
FDY38,OUT027,5599.582
FDH56,OUT046,1861.0355
FDL48,OUT018,651.2299
FDC48,OUT027,2182.5823
FDN33,OUT045,1515.2073
FDA36,OUT017,3087.744
FDT44,OUT017,1942.3735
FDQ56,OUT045,1300.853
NCC54,OUT019,500.3727
FDU11,OUT049,2068.246
DRL59,OUT013,941.76245
FDM24,OUT049,2408.622
FDI57,OUT045,3154.8496
DRC12,OUT018,2675.8752
NCM42,OUT027,2628.8806
FDA46,OUT010,658.4613
FDA31,OUT013,2779.9033
NCJ31,OUT035,3851.4565
FDG52,OUT046,871.0611
NCL19,OUT019,703.12115
FDS10,OUT035,3142.2166
FDX22,OUT010,896.9015
NCF19,OUT035,815.3031
NCE06,OUT046,2598.5571
DRC27,OUT046,3805.347
FDE21,OUT035,1959.0172
NCR42,OUT019,-113.12876
FDX51,OUT018,2660.3696
NCR06,OUT018,570.2893
FDU31,OUT027,5722.6987
FDU59,OUT017,2691.6438
FDR03,OUT027,5537.6816
FDS49,OUT027,2175.3162
FDD48,OUT010,500.9282
NCF18,OUT017,3207.1992
NCD43,OUT027,2623.5967
NCD54,OUT018,1861.025
FDY19,OUT010,480.77606
NCY54,OUT017,2992.9355
NCL19,OUT018,1978.614
FDP23,OUT010,823.44037
FDC26,OUT013,1861.0355
FDR14,OUT010,-231.33936
NCS41,OUT035,3312.528
FDF41,OUT035,4317.6387
FDU34,OUT046,1936.805
DRH11,OUT046,928.06464
FDM03,OUT013,1691.9612
FDS31,OUT017,3133.0667
FDJ20,OUT017,1952.3668
FDV44,OUT027,5222.179
FDG02,OUT049,3114.451
FDA09,OUT013,2844.3193
FDT04,OUT013,759.4409
FDL58,OUT019,770.1211
FDE52,OUT045,1344.0236
FDW12,OUT035,2475.434
FDL51,OUT017,3809.0757
NCY42,OUT027,3473.921
FDR07,OUT017,1171.9211
FDN40,OUT045,2358.426
FDB35,OUT027,2254.3774
FDA22,OUT017,2807.1025
NCL06,OUT046,4291.1196
FDI35,OUT013,2818.4397
NCW42,OUT045,4021.635
NCX06,OUT049,2991.6443
FDC37,OUT027,2628.8806
FDZ14,OUT018,1745.0165
DRG49,OUT049,4286.352
NCG06,OUT045,3844.9849
DRC36,OUT045,2918.3872
FDV21,OUT019,524.2257
FDB53,OUT046,2322.5945
DRP47,OUT019,571.8543
FDA14,OUT013,2298.743
DRC24,OUT035,2444.7498
FDW21,OUT018,1629.2264
NCH29,OUT046,1575.3145
FDU58,OUT013,2995.233
FDY27,OUT017,3064.6897
FDV56,OUT035,1767.059
FDT59,OUT046,3846.369
FDB23,OUT046,3558.1694
FDR49,OUT045,760.10144
FDB03,OUT010,1090.3129
FDN39,OUT045,2824.273
FDX02,OUT027,6102.957
FDQ16,OUT027,2628.8806
FDU35,OUT018,1346.6693
NCT29,OUT013,1961.3375
FDZ27,OUT046,876.33813
FDN57,OUT017,2148.3506
FDA03,OUT018,1942.6915
FDZ36,OUT045,3080.4539
NCU05,OUT013,1359.2589
FDT39,OUT018,2108.6707
FDK60,OUT017,1666.3813
FDZ25,OUT017,2958.766
FDG12,OUT046,1964.2151
DRB01,OUT019,516.18866
NCC43,OUT027,6113.5327
FDX13,OUT019,1018.6792
FDM22,OUT049,953.1483
FDJ03,OUT027,1529.6528
FDU14,OUT018,3616.257
FDB33,OUT010,621.96106
FDP27,OUT046,3046.971
FDO38,OUT010,188.53564
FDE28,OUT027,5632.025
FDO27,OUT035,1596.5281
DRL23,OUT027,2623.5967
FDS28,OUT046,922.2056
FDX24,OUT013,1481.7173
FDZ02,OUT035,1657.0768
FDL46,OUT045,1644.115
FDS60,OUT027,4570.043
NCO06,OUT017,638.5278
FDO16,OUT035,1407.6176
FDC60,OUT049,1333.043
FDA48,OUT018,3399.4639
FDZ36,OUT027,5090.0767
FDK27,OUT045,1997.8735
FDW23,OUT018,669.0912
FDM14,OUT018,1444.3892
FDM14,OUT013,1728.9105
FDW60,OUT018,2432.977
FDE21,OUT013,1873.5859
NCM42,OUT035,1769.8846
FDY59,OUT010,274.876
DRI49,OUT049,1339.8837
FDT28,OUT019,581.8401
FDQ22,OUT018,600.595
FDR60,OUT049,1365.1279
FDC50,OUT019,251.8229
FDV24,OUT013,2279.2124
DRF48,OUT010,758.108
FDQ47,OUT046,746.50836
DRN36,OUT049,1608.666
NCY06,OUT035,2093.3594
FDE52,OUT035,1445.6193
NCB54,OUT045,2022.9487
NCF31,OUT035,2465.842
FDJ08,OUT027,5274.3745
NCC07,OUT017,1756.6003
NCD19,OUT027,1800.1594
FDL46,OUT049,1832.7894
FDM20,OUT045,3828.2788
NCI06,OUT010,743.40393
DRM11,OUT035,4490.2754
NCH07,OUT018,2144.7224
FDS23,OUT013,2015.8805
FDO49,OUT018,678.7015
FDS35,OUT049,1088.9138
DRK39,OUT045,1257.8175
DRI39,OUT049,908.1552
FDV04,OUT017,2628.3735
NCN14,OUT035,3205.4438
FDH08,OUT013,4264.7046
FDS20,OUT046,3009.373
FDV40,OUT049,1308.0752
FDZ48,OUT010,346.10608
FDS24,OUT027,2254.3774
FDK44,OUT049,2995.2808
FDS48,OUT045,2396.0469
FDK26,OUT010,747.78766
FDD23,OUT045,3097.8486
NCH54,OUT017,2869.799
NCP14,OUT010,333.29333
FDM60,OUT010,-220.0978
FDV24,OUT017,2387.9812
FDH08,OUT018,3327.0088
FDS12,OUT027,3432.9707
FDR39,OUT027,4557.4927
FDP12,OUT027,1101.7759
DRF60,OUT027,6201.3423
FDC09,OUT035,1771.9814
FDF50,OUT018,2599.9614
FDG28,OUT035,4240.0586
NCE19,OUT017,931.6806
NCM53,OUT010,347.68106
NCN18,OUT049,1807.3665
FDF32,OUT035,3368.4695
FDF11,OUT013,3803.107
DRI59,OUT049,3942.9128
